"Sat: Jan 31","Between The Lines","tech house, minimal","Nico's (Los Angeles)","8pm-12am","","","Between The Lines Collective","https://ra.co/events/2336170","","46053.8333333333"
"Sat: Jan 31","Ascension 2026","house, drum and bass, dubstep, EDM","541 Main St (El Centro)","8pm-2am","$5-10","","Kinetik, Cosmic Armada","https://posh.vip/e/ascension-2026?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnSQCnfvZixEJGpOQBkH9xJzH1JXc9_LYH_MnKa2ozfsRHKIN5Tt__8Orfvfo_aem_rub4ViynIyVELaP3CoxhiA","","46053.8333333333"
"Sat: Jan 31","New Frequencies","house, techno, dubstep, uk garage, drum and bass","Top Floor 315 N Main St (Santa Ana)","8pm-2am","free","21+","Loom.Fm","https://www.instagram.com/p/DTWykuZFFoo/","https://www.instagram.com/loom.fm.oc/","46053.8333333333"
"Sat: Jan 31","Sisi, Adam Rose, & Jackson Algeo","tech house, deep house","TBA (San Diego)","8pm-2am","$22.85-30.85","21+","Yoon Records","https://ra.co/events/2339032","","46053.8333333333"
"Sat: Jan 31","Tenants Only","house, techno, dubstep","TBA (DTLA/Los Angeles)","8pm-2am","$12+","21+","Apt4B Radio ","https://posh.vip/e/apt4bradio-presents-tenants-only","https://www.instagram.com/p/DTjehTTEXiY/","46053.8333333333"
"Sat: Jan 31","Electric Feels","indie rock, indie dance, synthpop","Echoplex (Los Angeles)","9pm","$21-24","21+","","https://www.ticketmaster.com/event/09006427FD0AC76D","","46053.875"
"Sat: Jan 31","BONDxBall Masquerade","goth, industrial, fetish","Globe Theatre (Los Angeles)","9pm-2am","$33+","21+","","https://www.eventbrite.com/e/la-bondxball-masquerade-tickets-1895302764589","https://bondageball.com","46053.875"
"Sat: Jan 31","Camoufly","house","Los Globos (Los Angeles)","9pm-2am","$28","21+","Brownies & Lemonade","https://dice.fm/event/wwld2x-bl-presents-camoufly-31st-jan-los-globos-los-angeles-tickets","https://www.instagram.com/browniesandlemonade/","46053.875"
"Sat: Jan 31","Disco Pineapple Guestlist","house, dubstep","1060 Garnet Ave (San Diego)","9pm-2am","free w/rsvp b4 11pm","21+","","https://partiful.com/e/9kR6LvzuSCH1ymNZI8wU?source=share&c=4chZMSN0","","46053.875"
"Sat: Jan 31","Heart Warriors: Marques Wyatt, Madison Orange, Docta Wasabi","progressive house, deep house, soulful house","Casita Hollywood (Los Angeles)","9pm-2am","$34-50+","","Bodies And Beats","https://www.eventbrite.com/e/heart-warriors-tickets-1964455761063","https://www.facebook.com/events/3754513191519445/","46053.875"
"Sat: Jan 31","Mostly Vinyl LA w/ Sky Rivers, Cena & Dano","house, tech house","The Corner Door (Los Angeles)","9pm-2am","free w/rsvp / $17","21+","Ali Elassy, Mostly Vinyl","https://ra.co/events/2347523","https://www.instagram.com/mostly.vinyl.la/","46053.875"
"Sat: Jan 31","Nikita, The Wicked","house","1720 (Los Angeles)","9pm-2am","$32.96","","","https://dice.fm/event/nv7569-nikita-the-wicked-31st-jan-1720-los-angeles-tickets","","46053.875"
"Sat: Jan 31","Sanzu w/ Joust b2b Mile32","dubstep, bass music, riddim","Break Point (San Diego)","9pm-2am","$29+","","Project Seismic","https://posh.vip/e/sanzu-w-joust-b2b-mile32","","46053.875"
"Sat: Jan 31","Blurred Movement, Ramon","hard techno, hardcore","TBA (San Diego)","9pm-3am","free w/rsvp / $15-20","18+","Clear, Noshift","https://app.plots.events/event/nocshiftxagencyclearpresentsblurredmovementramnsddebut","","46053.875"
"Sat: Jan 31","Mita Gami","progressive house, playa tech","The Theatre (Los Angeles)","9pm-3am","$86-120","21+","Stranger Than","https://ra.co/events/2324885","https://dice.fm/event/eobybd-stranger-than-presents-mita-gami-31st-jan-the-theatre-los-angeles-tickets","46053.875"
"Sat: Jan 31","Circuit Papi 3 Year Anniversary w/ Nina Flowers & Jerac","house, latin, hip-hop","Rich's (San Diego)","9pm-4am","$21","21+","","https://prod-nts-api.seeticketsusa.us/v1.0.0/promote/21c3acf2-2159-4c80-be35-603fd91d20b2/clickthru","https://www.facebook.com/events/1532595631353109/","46053.875"
"Sat: Jan 31","Big Top Bounce","happy hardcore, gabber, makina","TBA (Los Angeles)","9pm-5am","$20 pre / $25","18+","BIGTOP","https://posh.vip/e/big-top-bounce","","46053.875"
"Sat: Jan 31","Rents Due I No Vacancy","dubstep, bass music, trap, afrobeats, house, techno, EDM","15830 Stagg St (Van Nuys)","9pm-5am","free b4 9:30pm / $35","21+","Rents Due","https://posh.vip/e/rents-due-2026-kickoff-party","https://www.instagram.com/p/DTgFmwSkjqm/","46053.875"
"Sat: Jan 31","L'america: Alex, Mark","balearic, acid, disco, house","Apotheke (Los Angeles)","9:30pm-1am","","21+","","https://ra.co/events/2351324","","46053.8958333333"
"Sat: Jan 31","Elderbrook","house, dance pop","Time Nightclub (Costa Mesa)","10pm-1:30am","$55+","21+","","https://www.tixr.com/groups/timenightclub/events/elderbrook-169756","","46053.9166666667"
"Sat: Jan 31","Saymyname","hard trap, riddim dubstep","Bloom Nightclub (San Diego)","10pm-1:30am","$15","21+","","https://www.tixr.com/groups/bloomdtsd/events/saymyname-164322","","46053.9166666667"
"Sat: Jan 31","Disclosure vs. Fred Again...Tribute Dance Party","house, uk garage","Catch One (Los Angeles)","10pm-2am","$14+","21+","Pauz","https://link.dice.fm/Jca16027b290","","46053.9166666667"
