"Fri: Feb 6","Tape B, Dr.Fresch, Jkyl & Hyde, Sully, Jiqui","dubstep, bass music, drum and bass","Sunset Cove Amphitheatre (Boca Raton)","5pm","$63.59-112.97","","Bassrush","https://edmtrain.com/fort-lauderdale-fl/bassrush-presents-tape-b-449366?get=tickets","https://bassrush.frontgatetickets.com/event/23vstef0rjhhtlh3","46059.7083333333"
"Fri: Feb 6","Afrobeta","synthpop","Jungle Plaza (Miami)","6pm-8pm","free","","Miami Design District","https://www.eventbrite.com/e/afrobeta-tickets-1979924420239","","46059.75"
"Fri: Feb 6","2 Years Of Mode","house","Mode (Miami)","9pm-5am","$40","21+","","https://dice.fm/event/v3qwp6-2-years-of-mode-6th-feb-mode-miami-tickets","","46059.875"
"Fri: Feb 6","Temple Of Wub - Ahee, Hairitage","dubstep, bass music","M2 (Miami)","10pm","$20+","21+","Roots Of Bass, Pitch Park","https://link.dice.fm/RootsofBass/TempleofWub/3","https://www.instagram.com/reel/DQpMqaKCX8NewLtWjuwgFr93W2IVWjpYVvmIQY0/","46059.9166666667"
"Fri: Feb 6","Jael","house, electronica, r&b","Zeyzey (Miami)","10pm-2am","free w/rsvp / $18+","18+","","https://shotgun.live/en/events/zeyzey-and-omni-present-jael","","46059.9166666667"
"Fri: Feb 6","Autonomy 10 Year Anniversary","dubstep, bass music, reggaeton, breaks, techno","The Boombox (Miami)","10pm-4am","$12.50-20","18+","","https://shotgun.live/en/events/autonomy-10-year-anniversary","","46059.9166666667"
"Fri: Feb 6","Cltx Is Back, ANTICHRIS, CYPHSS, TECHNOFA1RY","hard techno","Domicile (Miami)","10pm-5am","$22.21-26","21+","","https://dice.fm/event/bb3wxo-cltx-is-back-6th-feb-domicile-miami-miami-tickets","","46059.9166666667"
"Fri: Feb 6","Death On The Balcony, Surreal Flight","deep house, tech house, disco house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24.25-30.31","21+","","https://dice.fm/event/xe2w9e-death-on-the-balcony-6th-feb-do-not-sit-on-the-furniture-miami-beach-tickets","","46059.9166666667"
"Fri: Feb 6","Roots Of Bass - Ahee, Hairitage","bass music, glitch-hop, dubstep, trap","M2 (Miami)","10pm-5am","$20-100","21+","Pitchpark Events","https://ra.co/events/2288560","","46059.9166666667"
"Fri: Feb 6","PNK: Goosey + Pedroz","house","The Ground At Space (Miami)","11pm","$15+","21+","","https://edmtrain.com/miami-fl/pedroz-goosey-459759?get=tickets","https://dice.fm/event/yonxyr-pnk-goosey-pedroz-6th-feb-the-ground-miami-miami-tickets","46059.9583333333"
"Fri: Feb 6","Max Styler, Tiga & Azzecca","house","Club Space (Miami)","11pm-2pm","$60","21+","","https://dice.fm/event/xe2brm-max-styler-tiga-azzecca-6th-feb-club-space-miami-miami-tickets","","46059.9583333333"
"Sat: Feb 7","Boogie T","riddim, dubstep, bass music","Kemistry (Fort Lauderdale)","10pm-4am","","","","https://dice.fm/event/53x9rw-boogie-t-7th-feb-kemistry-fort-lauderdale-tickets?dice_source=ee15ecdb&eventref=fb_oea","https://www.facebook.com/events/1392349592315843/","46060.9166666667"
"Sat: Feb 7","Yu Su","house","Jolene Downtown (Miami)","10pm-4am","$15","21+","","https://dice.fm/event/py5g7y-yu-su-7th-feb-jolene-sound-room-miami-miami-tickets","","46060.9166666667"
"Sat: Feb 7","Kora","progressive house, deep house, tech house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24-30","21+","","https://link.dice.fm/N5b3ed747330","","46060.9166666667"
"Sat: Feb 7","Sonny Fodera","deep house, tech house","Liv (Miami)","11:30pm","","21+","","https://www.livnightclub.com/miami/event/EVE112156200020260207/sonny-fodera/?ref=ticketmaster","","46060.9791666667"
"Thu: Feb 12","Beastboi.","dubstep, bass music","Kemistry (Fort Lauderdale)","10pm-4am","$13.22","18+","","https://dice.fm/event/ww5m8v-beastboi-12th-feb-kemistry-fort-lauderdale-tickets","","46065.9166666667"
"Fri: Feb 13","Romare Live 2026","deep house, disco house","Zeyzey (Miami)","8pm-2am","$24","18+","","https://shotgun.live/en/events/zeyzey-presents-romare-live-2026","","46066.8333333333"
"Fri: Feb 13","Lum","progressive house, tech house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24.25-30.31","21+","","https://dice.fm/event/6dn79q-lum-13th-feb-do-not-sit-on-the-furniture-miami-beach-tickets","","46066.9166666667"
"Fri: Feb 13","Matroda & Joshwa","tech house","Club Space (Miami)","11pm","$30+","21+","","https://dice.fm/event/k6amql-matroda-joshwa-13th-feb-club-space-miami-miami-tickets","","46066.9583333333"
"Sat: Feb 14","Local Art Club | Art Social Saturday","deep house, soulful house","Arlo Wynwood (Miami)","6pm-10pm","free","","","https://shotgun.live/en/events/local-art-club-art-social-saturday-january-2026","","46067.75"
"Sat: Feb 14-Mon: Feb 16","Cimafest Miami 2026","","Zeyzey (Miami)","Sat: 6pm-Mon: 12am","$96+","18+","Zey Zey","https://shotgun.live/en/events/zeyzey-presents-cimafest-miami-2026","","46067.75"
"Sat: Feb 14","Ilan Bluestone","trance, progressive house","Kemistry (Fort Lauderdale)","10pm-4am","$12-24","18+","","https://dice.fm/event/k6ngoo-ilan-bluestone-14th-feb-kemistry-fort-lauderdale-tickets","","46067.9166666667"
"Sat: Feb 14","Nico Morano","house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24-30","21+","","https://link.dice.fm/Edcb624c1ead","","46067.9166666667"
"Sat: Feb 14","Midnight Service","house, disco, techno","Mad Live (Miami)","11pm-5am","$30-56","21+","","https://dice.fm/event/l8b8wx-midnight-service-14th-feb-mad-live-miami-tickets","","46067.9583333333"
"Sat: Feb 14","Gryffin","synthpop, future bass","Liv Nightclub (Miami)","11:30pm-5am","$62-153","21+","","https://www.universe.com/events/TQKSZF","","46067.9791666667"
"Sun: Feb 15","Alleycvt | Daer Dayclub","dubstep, bass music","Daer Dayclub (Hollywood)","12pm-6pm","$20","21+","","https://www.tixr.com/groups/daerdayclubsouthflorida/events/alleycvt-daer-dayclub-168977","https://www.facebook.com/events/1202823308482386/","46068.5"
"Sun: Feb 15","Markus Schulz, Emma Hewitt, Darude","progressive house, trance","E11even (Miami)","11pm","free w/rsvp b4 midnight / $23-34","21+","","https://speakeasygo.com/event/EVE-2Z4D4Z","","46068.9583333333"
"Wed: Feb 18","Marc Rebillet","hip-hop, future beats, experimental","Zeyzey (Miami)","8pm","","All ages","AEG","https://www.axs.com/events/1009547/marc-rebillet-tickets","","46071.8333333333"
"Thu: Feb 19","The Final Frequency w/ Gramgreene + Smal B","dubstep, riddim","Spice Club (Hollywood)","9pm-3am","$15","","Stun, The Lowest, Riddim HQ & The Buzz","https://shotgun.live/en/events/the-final-frequency-w-gramgreene-smal-b","","46072.875"
"Thu: Feb 19","Maria Romano","","E11even (Miami)","11pm","$23+","21+","","https://speakeasygo.com/event/EVE-KXCMYB","","46072.9583333333"
"Fri: Feb 20","Peaches v No Lube So Rude Tour","","Zeyzey (Miami)","8pm-2am","$49+","18+","","https://shotgun.live/en/events/zeyzey-presents-peaches","","46073.8333333333"
"Fri: Feb 20","Rayray","hardstyle, pop EDM","Kemistry (Fort Lauderdale)","10pm-4am","$13.22-33.06","18+","","https://dice.fm/event/rya5ew-rayray-20th-feb-kemistry-fort-lauderdale-tickets","","46073.9166666667"
"Fri: Feb 20","Manti, Surreal Flight","progressive house, tech house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24-30","21+","","https://link.dice.fm/S3cd8f8a5185","","46073.9166666667"
"Sat: Feb 21","Jellyfish Electric Y2k Rave and Costume Party","","Baoshi Food Hall + Bar (Pembroke Pines)","9pm-2am","free w/rsvp b4 10pm / $6","18+","","https://shotgun.live/en/events/jellyfish-electric-y-2-k-rave-and-costume-party","","46074.875"
"Sat: Feb 21","Jauz","bass house, electro house, dubstep, trap","Kemistry (Fort Lauderdale)","10pm-4am","$20+","18+","","https://dice.fm/event/yon9nr-jauz-21st-feb-kemistry-fort-lauderdale-tickets","","46074.9166666667"
"Sat: Feb 21","Makossa","big room, progressive house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24-30","21+","","https://link.dice.fm/J9be2901f378","","46074.9166666667"
"Thu: Feb 26","Dennett","dubstep, melodic dubstep","Kemistry (Fort Lauderdale)","10pm-4am","free w/rsvp b4 11pm / $20","18+","","https://dice.fm/event/pypdqk-dennett-26th-feb-kemistry-fort-lauderdale-tickets","","46079.9166666667"
"Thu: Feb 26","Rockwell","","E11even (Miami)","11pm","$23+","21+","","https://speakeasygo.com/event/EVE-HG3Y79","","46079.9583333333"
"Fri: Feb 27","Veggi","house, hip-hop, r&b","Zeyzey (Miami)","8pm-2am","$25","18+","","https://shotgun.live/en/events/under-the-disco-ball-ft-veggi","","46080.8333333333"
"Fri: Feb 27","Veggi + Maguu + Godblessjai + M.A.P","house, hip-hop, r&b","Zeyzey (Miami)","8pm-2am","$25+","18+","","https://shotgun.live/en/events/under-the-disco-ball-ft-veggi","","46080.8333333333"
"Fri: Feb 27","Paul van Dyk","trance, progressive house","Kemistry (Fort Lauderdale)","10pm","","","","https://dice.fm/event/92xlad-paul-van-dyk-27th-feb-kemistry-fort-lauderdale-tickets?dice_source=ee15ecdb&eventref=fb_oea","https://www.facebook.com/events/1885042155756878/","46080.9166666667"
"Fri: Feb 27","Facundo Mohrr","progressive house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24.25-30.31","21+","","https://dice.fm/event/8e8ma7-facundo-mohrr-27th-feb-do-not-sit-on-the-furniture-miami-beach-tickets","","46080.9166666667"
"Sat: Feb 28-Mon: Mar 2","We Belong Here: Miami","progressive house, tech house, big room house, pop EDM","Historic Virginia Key Beach Park (Miami)","Sat: 5pm-Mon: 12am","","21+","","https://www.webelonghere.world/miami/","","46081.7083333333"
"Sat: Feb 28","Wax Tailor","hip-hop, trip-hop","Zeyzey (Miami)","8pm-2am","$25-55","18+","","https://shotgun.live/en/events/zeyzey-presents-wax-tailor-20th-anniversary","","46081.8333333333"
"Sat: Feb 28","Nhii","progressive house, tech house","Do Not Sit On The Furniture (Miami Beach)","10pm-5am","$24.25-30.31","21+","","https://dice.fm/event/q27oox-nhii-28th-feb-do-not-sit-on-the-furniture-miami-beach-tickets","","46081.9166666667"
"Sat: Feb 28","Chris Luno","progressive house, tech house, playa tech","Selva (Miami)","11:30pm-4am","$50","21+","","https://posh.vip/e/chris-luno-selva","","46081.9791666667"
